Artista,Albumes,
Elton John,"['Regimental Sgt. Zippo', 'Madman Across The Water (Deluxe Edition)', 'The Lockdown Sessions', 'The Lockdown Sessions', 'The Lockdown Sessions', 'The Lockdown Sessions', 'The Lockdown Sessions (Christmas Edition)', 'The Lockdown Sessions (Christmas Edition)', 'The Lockdown Sessions (Christmas Edition)', 'The Lockdown Sessions (Christmas Edition)', 'The Lockdown Sessions (Christmas Edition)', 'The Lockdown Sessions (Christmas Edition)', 'The Lockdown Sessions', 'The Lockdown Sessions', 'In The Summertime Elton John Recordings', 'Live at the Fillmore West 12th Nov 1970', 'The Classic Years of Elton John', 'The Classic Years of Elton John', 'Jewel Box', 'Jewel Box', 'Jewel Box', 'Jewel Box', 'Jewel Box', 'Jewel Box', 'Jewel Box', 'Jewel Box', 'Jewel Box', 'Live From Moscow (Live From Moscow / 1979)', 'Empty Sky', 'Ik (Onverkort)', 'Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe)', 'Me - Elton John Official Autobiography (Unabridged)', 'Singing The Seventies', 'Rocketman (Music From The Motion Picture)', 'Rocketman (Music From The Motion Picture)', 'Rocketman (Music From The Motion Picture)', 'Elton John Covers Classic Hits', 'Diamonds (Deluxe)', 'XXDiamonds (Deluxe)', 'Diamonds (Deluxe)', 'Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe)', 'Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe)', 'Goodbye Yellow Brick Road (Remastered / Deluxe Edition)', 'The Road To El Dorado (Original Motion Picture Soundtrack)', 'Wonderful Crazy Night (Deluxe)', 'Wonderful Crazy Night', 'Wonderful Crazy Night (Deluxe)', 'Wonderful Crazy Night (Deluxe)', 'Wonderful Crazy Night', 'Wonderful Crazy Night (Deluxe)', 'Pretty Rainbow', 'Cheerful', 'Skyey Sounds Vol. 9', 'Goodbye Yellow Brick Road (40th Anniversary Celebration)', 'Goodbye Yellow Brick Road (40th Anniversary Celebration)', 'XXThe Diving Board (Deluxe Version)', 'The Diving Board', 'The Diving Board (Deluxe Version)', 'XXGood Morning To The Night', 'Good Morning To The Night', 'Good Morning To The Night', 'Good Morning To The Night (Deluxe Version)', 'XXGood Morning To The Night (Deluxe Version)', 'Good Morning To The Night (Deluxe Version)', 'Good Morning To The Night', 'The Piano Men - Live In Tokyo', 'The Union', 'The Union (Deluxe)', 'The Union', 'XXThe Union', 'The Union', 'The Union (Deluxe)', 'The Union (Deluxe)', 'The Piano Men Live In Tokyo', ""Elton John's Greatest Hits"", 'The Greatest Hits 1970-2002', 'The Greatest Hits 1970-2002', 'XXElton 60 - Live At Madison Square Garden', 'Elton 60 - Live At Madison Square Garden', 'Electricity', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'Rocket Man', 'The Captain and The Kid', 'XXThe Captain and The Kid', 'The Captain and The Kid', 'The Captain and The Kid', 'The Captain and The Kid', 'Chartbusters Go Pop!! 16 Legendary Covers from 1969/70 as sung by Elton John', ""Elton John's Christmas Party"", 'XXPeachtree Road', 'Peachtree Road', 'Peachtree Road (Expanded Edition)', 'Peachtree Road', 'Peachtree Road', 'Peachtree Road', 'Peachtree Road', 'XXPeachtree Road', 'WDAS 105.3 FM: Classic Soul Hits, Vol. 8', 'A World of Love', 'The Greatest Hits 1970-2002', 'The Greatest Hits 1970-2002', 'The Greatest Hits 1970-2002', 'The Greatest Hits 1970-2002', 'Songs From The West Coast', 'XXSongs From The West Coast', 'Songs From The West Coast', 'Songs From The West Coast', 'XXSongs From The West Coast', 'Songs From The West Coast', 'Songs From The West Coast (Expanded Edition)', 'Songs From The West Coast (Expanded Edition)', 'Too Low For Zero', 'Too Low For Zero', 'Chartbusters Go Pop! 16 Legendary Covers from 1969/70 as Sung by Elton John', 'One Night Only', 'One Night Only', 'One Night Only', 'One Night Only', 'One Night Only', 'To Be Continued...', 'The Road To El Dorado', 'XXAida', 'Aida', 'The Road To El Dorado (Original Motion Picture Soundtrack)', 'Aida', 'XXAida', 'Live In Australia (Remastered 1998)', 'XXThe Big Picture', 'The Big Picture', 'XXThe Big Picture', 'XXThe Big Picture', 'Love Songs', 'Love Songs', 'XXLove Songs', 'Love Songs', 'Captain Fantastic And The Brown Dirt Cowboy', 'Captain Fantastic And the Brown Dirt Cowboy', 'Captain Fantastic - Deluxe Edition', 'Captain Fantastic - Deluxe Edition', 'XXCaptain Fantastic And The Brown Dirt Cowboy', 'XX11-17-70', 'XXCaptain Fantastic And The Brown Dirt Cowboy', '17-11-70', 'Captain Fantastic And The Brown Dirt Cowboy', 'Captain Fantastic And The Brown Dirt Cowboy', 'Made in England', 'Made in England [#2]', 'Made In England', 'Made In England', 'XXMade In England', 'XXMade In England', 'Duets', 'Duets', 'Duets', 'XXDuets', 'The One', 'XXThe One', 'XXThe One', 'Sleeping With The Past', 'XXSleeping With The Past', 'XXSleeping With The Past', 'XXReg Strikes Back', 'Reg Strikes Back', 'Leather Jackets', 'XXLeather Jackets', 'Leather Jackets', 'XXIce On Fire', 'Ice On Fire', 'Ice On Fire', 'Ice On Fire', 'Ice On Fire', 'Your Songs', 'Breaking Hearts', 'XXBreaking Hearts', 'XXBreaking Hearts', 'Breaking Hearts', 'Breaking Hearts', 'Breaking Hearts', 'Breaking Hearts', 'Too Low For Zero', 'XXToo Low For Zero', 'XXToo Low For Zero', 'Jump Up', 'Jump Up', 'Jump Up!', 'Jump Up!', 'XXJump Up!', 'XXJump Up!']",
Pavle Popov,"['Electronic Pieces', 'Electronic Pieces', 'Nocturnal', 'Live at Opservatorium', 'Live at Opservatorium']",
Phil Collins,"['Other Sides', 'Remixed Sides', 'Remixed Sides', 'A Hot Night in Paris (Live; 2019 Remaster)', 'Serious Hits...Live! (2019 Remaster)', 'Plays Well With Others', 'The Singles', 'The Singles', 'The Singles (Expanded)', 'The Singles', 'The Singles', 'The Singles', '...But Seriously (Deluxe Edition)', '...But Seriously (2016 Remaster)', 'The Essential Going Back (Remastered)', 'The Essential Going Back (Deluxe Edition)', 'The Essential Going Back (2016 Remaster)', 'The Essential Going Back (Deluxe Edition)', 'Testify (Deluxe Edition)', 'Testify (2016 Remaster)', 'No Jacket Required (Deluxe Edition)', 'Testify (Deluxe Edition)', 'Dance into the Light (Deluxe Edition)', 'Face Value (Deluxe Editon)', 'Both Sides (Deluxe Edition)', 'Both Sides (2015 Remaster)', 'Face Value (2016 Remaster)', '...But Seriously', 'Serious Hits... Live!', 'At Fukuoka Dome', 'Hello, I Must Be Going (2016 Remaster)', 'Face Value (2016 Remaster)', 'No Jacket Required (2016 Remaster)', 'Phil Collins at Fukuoka Dome', 'Going Back', 'Going Back (Deluxe)', 'Going Back (Deluxe)', 'XXBrother Bear', 'Hits', 'Tarzan Original Soundtrack (German Version)', 'Tarzan Original Soundtrack', 'Tarzan Original Soundtrack', 'Tarzan Original Soundtrack', 'Tarzan Original Soundtrack', 'Tarzan Original Soundtrack', 'Tarzan Original Soundtrack', 'Love Songs (A Compilation Old and New)', 'Love Songs', 'Frère des Ours (Bande Originale Française du Film)', 'Testify', 'Testify', 'A Hot Night In Paris', 'Tarzan', 'Tarzan', 'A Hot Night in Paris (Live; 2019 Remaster)', 'Tarzan (Bande Originale Française du Film)', '...Hits', 'Both Sides', 'Both Sides', 'Live - The Way We Walk, Volume One: The Shorts', 'Serious Hits ... LIVE !', 'Serious Hits...Live! (2019 Remaster)', 'But Seriously', 'But Seriously', 'No Jacket Required', 'No Jacket Required', 'Hello, I Must Be Going', 'Hello, I Must Be Going', 'Hello, I Must Be Going (2016 Remaster)', 'Hello, I Must Be Going! (Deluxe Edition)', 'Face Value', 'Face Value']",
Billy Joel,"['Live at Yankee Stadium', '50 Years of the Piano Man', 'Japanese Singles Collection -Greatest Hits-', 'Live Through the Years', 'Kohuept (Live)', 'A Matter of Trust - The Bridge to Russia: The Music (Live)', 'Greatest Hits Volume I & Volume II', 'A Matter of Trust - The Bridge to Russia: The Music (Live)', 'A Matter of Trust - The Bridge to Russia: The Music (Live)', 'Hometown Hero', 'Collected Additional Masters', 'Collected Additional Masters', 'Collected Additional Masters', 'Sparks Saloon, Huntington, New York, July 1981 (Hd Remastered Version)', 'Gusman Cultural Center, Miami, October 29th, 1976 (Remastered, Live On Broadcasting)', 'Nassau Coliseum Rehearsal, December 27th, 1989 (Remastered, Live On Broadcasting)', 'Sparks Saloon, Huntington, New York, July 1981 (Remastered, Live On Broadcasting)', 'The Stranger Tour, Nassau Coiliseum, Uniondale, New York, December 11th, 1977 (Remastered) [Live on Fm Broadcasting)', 'Live to Air', 'A Matter Of Trust: The Bridge To Russia', 'The Complete Albums Collection', 'All Time best - Reclam Musik Edition 13', '52nd Street (Alben für die Ewigkeit)', ""She's Got A Way: Love Songs"", ""She's Got A Way: Love Songs"", ""She's Got A Way: Love Songs"", 'The Hassles Featuring Billy Joel, Got to Begin Again', 'Original Album Classics', ""Billy Joel - The Hits - The Times They Are A-Changin'"", 'Billy Joel - The Hits Then and Now - Big Shot', 'Billy Joel - The Hits - The Early Years', 'Billy Joel - Live in Leningrad', 'Billy Joel - Live in the U.S.S.R.', 'The Piano Men - Live In Tokyo', 'Piano Man (Legacy Edition)', 'Further Than Heaven', 'Greatest Hits Volume I & Volume II', 'Live On Air', 'Live At Shea Stadium', ""Billy Joel : She's Always A Woman : The Love Songs"", 'The Hits', 'The Hits', 'The Harbor Sessions', 'My Lives', 'The Stranger (30th Anniversary Legacy Edition)', 'The Stranger (30th Anniversary Legacy Edition)', 'The Stranger (30th Anniversary Legacy Edition)', 'Billy Joel & The Hassles', '12 Gardens Live', '12 Gardens Live', '12 Gardens Live Sampler', 'My Lives', 'Piano Man: The Very Best of Billy Joel', 'Piano Man: The Very Best Of Billy Joel', 'Piano Man: The Very Best of Billy Joel', 'Piano Man - The Very Best of Billy Joel', 'Piano Man - The Very Best of Billy Joel', 'Piano Man - The Very Best of Billy Joel', 'Piano Man: The Very Best of Billy Joel', 'Cold Spring Harbor: The Harbor Sessions', 'Libertango', 'An Innocent Man/River Of Dreams', 'Greatest Hits Volume I & Volume II', ""Movin' Out (Original Broadway Cast Recording)"", 'Piano Man/52nd Street/Kohuept (Live)...', 'Piano Man/52nd Street/Kohuept (3 Pak)', 'GREATEST HITS VOLUME III', 'Longitude 2 Degree', 'The Essential Billy Joel', 'The Essential Billy Joel', 'The Essential Billy Joel', 'The Essential Billy Joel', 'Fantasies & Delusions', 'Fantasies & Delusions', 'Billy Joel Opus 1-10 Fantasies & Delusions Music for Solo Piano', 'Billy Joel - The Ultimate Collection', '2000 Years - The Millennium Concert', 'The Bridge/Storm Front...', 'Greatest Hits Volume I and II', 'Greatest Hits, Vol. 3', 'Greatest Hits Vol. III', 'Greatest Hits Vol. III', 'Greatest Hits Volume III', 'The Complete Hits Collection 1973-97', 'Greatest Hits Vol. III', 'River of Dreams', 'River Of Dreams', 'River Of Dreams', 'River Of Dreams', 'River Of Dreams', 'Storm Front', 'Storm Front', 'Storm Front', 'Storm Front', 'Kohuept', 'Kohuept', 'Kohuept', 'The Bridge', 'The Bridge', 'The Bridge', 'Greatest Hits Volumes I & II', 'An Innocent Man', 'An Innocent Man', 'An Innocent Man', 'An Innocent Man', 'An Innocent Man', 'An Innocent Man', 'The Nylon Curtain', 'The Nylon Curtain', 'The Nylon Curtain', 'The Nylon Curtain', 'The Nylon Curtain', 'Songs In The Attic', 'Songs In The Attic', 'Songs In the Attic', 'Glass Houses', 'Glass Houses', 'Glass Houses', 'Glass Houses', '52nd Street', '52nd Street', '52nd Street', '52nd Street', '52nd Street', 'The Stranger', 'The Stranger (Legacy Edition)', 'The Stranger', 'The Stranger', 'The Stranger', 'Turnstiles', 'Turnstiles', 'Turnstiles', 'Turnstiles', 'Turnstiles', 'Streetlife Serenade', 'Streetlife Serenade', 'Streetlife Serenade', 'Streetlife Serenade', 'Piano Man', 'Piano Man', 'Piano Man', 'Piano Man', 'Piano Man', 'Piano Man', 'Piano Man', 'Cold Spring Harbor', 'Cold Spring Harbor']",
Whitney Houston,"['One Wish (The Holiday Album) (Deluxe Version)', 'I Will Always Love You: The Best Of Whitney Houston', 'So Emotional (Remixes)', ""Whitney Dancin' Special"", ""Whitney Dancin' Special"", ""Whitney Dancin' Special"", ""Whitney Dancin' Special"", ""Whitney Dancin' Special"", ""Whitney Dancin' Special"", 'Whitney The Greatest Hits', 'Once in a Lifetime', 'I Wish You Love: More From The Bodyguard', 'I Wish You Love: More From The Bodyguard', 'I Wish You Love: More From The Bodyguard', 'Live in Japan - Remastered', 'The Ultimate Collection', 'Whitney Houston Live: Her Greatest Performances - Ultimate Edition', 'Whitney Houston Live: Her Greatest Performances', 'I Just Want to Be with You', 'Whitney (Alben für die Ewigkeit)', 'Cissy & Whitney Together', 'I Will Always Love You: The Best Of Whitney Houston', 'I Will Always Love You: The Best Of Whitney Houston', 'Together', 'My Love Is Your Love / I Look To You', 'All Time Best - Reclam Musik Edition 10', 'The Essential Whitney Houston', 'Concert for South Africa', 'The Collection', 'I Look To You', 'I Look To You', 'I Look To You', 'I Look To You', 'I Look To You', ""The Preacher's Wife"", 'The Bodyguard - Original Soundtrack Album', 'One Wish / The Holiday Album', 'The Greatest Hits', 'Double Best Of', 'Double Best Of', 'One Wish - The Holiday Album', 'One Wish - The Holiday Album', 'One Wish / The Holiday Album', 'One Wish / The Holiday Album', 'One Wish / The Holiday Album', 'Just Whitney', 'Just Whitney', 'Just Whitney', 'Love, Whitney', 'Love, Whitney', 'Love, Whitney', 'Inspirational Sax [Legacy]', 'Greatest Hits', 'When You Believe', 'When You Believe (From The Prince Of Egypt)', 'My Love Is Your Love', ""The Preacher's Wife"", 'The Bodyguard - Original Soundtrack Album', 'The Bodyguard', ""I'm Your Baby Tonight"", ""I'm Your Baby Tonight"", ""I'm Your Baby Tonight"", ""I'm Your Baby Tonight"", 'The Bodyguard - Original Soundtrack Album', 'Whitney', 'Whitney', 'Whitney', 'Whitney', 'Whitney', 'Whitney Houston', 'Whitney Houston (The Deluxe Anniversary Edition)', 'Whitney Houston', 'Whitney Houston']",
Lionel Richie,"['Renaissance (Deluxe Edition)', 'Symphonica In Rosso 2008', 'Time (Deluxe Version)', 'Just For You (Deluxe Edition)', 'Louder Than Words (Deluxe Edition)', 'La Legende Des Best Sellers', 'La Legende Des Best Sellers', 'La Legende Des Best Sellers', 'Hello From Las Vegas (Deluxe)', 'Hello From Las Vegas (Deluxe)', 'Hello From Las Vegas (Deluxe)', 'The Ultimate Collection', 'Back To Front (The One & Only)', 'Tuskegee', 'Tuskegee', 'Tuskegee', 'Tuskegee (Deluxe Version)', 'Tuskegee (GAS Version)', 'Tuskegee', 'Tuskegee (The Dutch Edition)', 'Tuskegee', 'XXTuskegee', 'Tuskegee', 'XXJust Go', 'Just Go', 'Just Go (Deluxe Edition)', 'The Collection', 'XXThe Collection', 'Symphonica In Rosso 2008', 'The Definitive Collection', 'XXLive', 'Live In Paris', 'Live In Paris', 'Live', 'Live', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home', 'Coming Home (Deluxe Edition)', 'Soul Legends', 'XXSoul Legends', 'Louder Than Words', 'Louder Than Words', 'XXLouder Than Words', 'Louder Than Words', 'Louder Than Words', 'Louder Than Words', 'Time', 'XXTime', 'XXTime', 'Gold', 'Encore', 'XXEncore', 'Encore', 'Encore', 'Encore', 'Encore', 'XXEncore', 'Just For You', 'Just for You', 'XXJust For You', 'Just For You', 'Just For You', 'Just For You', 'Just For You', 'Just For You', 'Just For You', 'Just For You', 'Just For You', 'XXThe Definitive Collection', 'XXThe Best Of Lionel Richie 20th Century Masters The Millennium Collection', 'The Best Of Lionel Richie 20th Century Masters The Millennium Collection', 'The Definitive Collection', 'The Definitive Collection', 'XXThe Definitive Collection', 'The Definitive Collection', 'Renaissance', 'Renaissance', 'XXRenaissance', 'Renaissance', 'Renaissance', 'Renaissance', ""Can't Slow Down / Lionel Richie / Dancing On The Ceiling"", 'Truly: The Love Songs', 'Truly The Love Songs', 'Truly The Love Songs', 'XXTruly The Love Songs', 'XXLove Songs', 'Love Songs', 'Love Songs', 'Back To Front', 'Back to Front', 'Back To Front', 'Back To Front', 'XXBack To Front', 'Back To Front', 'Back To Front', 'Back To Front', 'Dancing On The Ceiling (Expanded Edition)', 'XXDancing On The Ceiling', 'XXDancing On The Ceiling', 'Dancing On The Ceiling (Expanded Edition)', 'XXDancing On The Ceiling', 'XXDancing On The Ceiling', 'Dancing On The Ceiling', 'Dancing On The Ceiling', 'Dancing On The Ceiling', ""Can't Slow Down (Deluxe Edition)"", ""XXCan't Slow Down"", ""XXCan't Slow Down"", ""XXCan't Slow Down"", ""XXCan't Slow Down"", ""XXCan't Slow Down"", ""Can't Slow Down"", ""XXCan't Slow Down"", ""Can't Slow Down"", ""Can't Slow Down"", ""Can't Slow Down"", 'XXLionel Richie', 'Lionel Richie', 'Lionel Richie', 'XXLionel Richie', 'Lionel Richie', 'Lionel Richie', 'Lionel Richie', 'Just Go']",
